No|Code|Value|AliasEn|AliasAz|AliasRu|DescriptionEn|DescriptionAz|DescriptionRu
1|MON|Monday|Monday|Bazar ertəsi|Понедельник|||
2|TUE|Tuesday|Tuesday|Çərşənbə axşamı|Вторник|||
3|WED|Wednesday|Wednesday|Çərşənbə|Среда|||
4|THU|Thursday|Thursday|Cümə axşamı|Четверг|||
5|FRI|Friday|Friday|Cümə|Пятница|||
6|SAT|Saturday|Saturday|Şənbə|Суббота|||
7|SUN|Sunday|Sunday|Bazar|Воскресенье|||
