No|Code|Value|AliasEn|AliasAz|AliasRu|DescriptionEn|DescriptionAz|DescriptionRu
1|UNK|Unknown|Unknown|Naməlum|Неизвестно|||
2|UND|Undefined|Undefined|Qeyri-müəyyən|Не определён|||
3|UP|Up|Up|Yuzarıya|Наверх|||
4|DOWN|Down|Down|Aşağıya|Вниз|||
5|LEFT|Left|Left|Sola|Налево|||
6|RIGHT|Right|Right|Sağa|Направо|||
