No|Code|Value|AliasEn|AliasAz|AliasRu|DescriptionEn|DescriptionAz|DescriptionRu
1|UNK|Unknown|Unknown|Naməlum|Неизвестно|||
2|UND|Undefined|Undefined|Qeyri-müəyyən|Не определён|||
2|BABY|Baby|Baby|Körpə|Младенец|||
3|CHILD|Child|Child|Uşaq|Ребёнок|||
4|TEEN|Teenager|Teenager|Yeniyetmə|Подросток|||
5|ADULT|Adult|Adult|Yetkin / Böyük|Взрослый / Зрелый|||
6|ELDERLY|Elderly|Elderly|Yaşlı / Qoca|Пожилой|||
