No|Code|Value|AliasEn|AliasAz|AliasRu|DescriptionEn|DescriptionAz|DescriptionRu
1|U|Unknown|Unknown|Naməlum|Неизвестно|||
2|M|Male|Male|Kişi|Мужчина|||
3|F|Female|Female|Qadın|Женщина|||
