No|Code|Value|AliasEn|AliasAz|AliasRu|DescriptionEn|DescriptionAz|DescriptionRu
1|UNK|Unknown|Unknown|Naməlum|Неизвестно|||
2|UND|Undefined|Undefined|Qeyri-müəyyən|Не определён|||
3|TOP|Top|Top|Yuzarı|Верх|||
4|BOTTOM|Bottom|Bottom|Aşağı|Низ|||
5|LEFT|Left|Left|Sol|Налево|||
6|RIGHT|Right|Right|Sağ|Направо|||
