No|Code|Value|AliasEn|AliasAz|AliasRu|DescriptionEn|DescriptionAz|DescriptionRu
1|UNK|Unknown|Unknown|Naməlum|Неизвестно|||
2|UND|Undefined|Undefined|Qeyri-müəyyən|Не определён|||
3|SINGLE|Single|Single|Subay|Холост / Не замужем|||
4|MARRIED|Married|Married|Evli|Женат / Замужем|||
5|DIVORCED|Divorced|Divorced|Boşanmış|В разводе|||
6|WIDOWED|Widowed|Widower / widow|Dul|Вдовец / Вдова|||
