Id|RowCreated|RowUpdated|RowCreatedByUser|RowUpdatedByUser|RowInfo|GlobalID|Code|Value|AliasEn|AliasAz|AliasRu|DefinitionEn|DefinitionAz|DefinitionRu
34|2024-01-18 07:07:50.1547876|2024-01-18 07:07:50.1547878|admin|admin||caa968b2-f96c-43c7-8ba3-f21e51db762d|FI|Finnish||||||
35|2024-01-18 07:07:50.1548023|2024-01-18 07:07:50.1548025|admin|admin||d17bfdf6-d21c-4a3e-82bb-cdefc21b7a75|FR|French||||||
36|2024-01-18 07:07:50.1548184|2024-01-18 07:07:50.1548186|admin|admin||9304e0b1-f67b-45ea-a974-4793beb527f6|FY|Frisian||||||
37|2024-01-18 07:07:50.1548332|2024-01-18 07:07:50.1548334|admin|admin||1fccb5e1-ddce-4c0e-bbbe-3da0565aa85a|GD|Gaelic (Scots Gaelic)||||||
38|2024-01-18 07:07:50.1548478|2024-01-18 07:07:50.154848|admin|admin||f1ca3e4c-5160-4646-8fd9-2db66831a281|GL|Galician||||||
39|2024-01-18 07:07:50.1548648|2024-01-18 07:07:50.154865|admin|admin||8cb35ab7-2168-441f-acdd-bc8ea6b5d8a3|KA|Georgian||||||
40|2024-01-18 07:07:50.1548796|2024-01-18 07:07:50.1548798|admin|admin||7eb638d9-5009-4788-b01c-6df708761daa|DE|German||||||
41|2024-01-18 07:07:50.1548944|2024-01-18 07:07:50.1548946|admin|admin||8359a8ad-2628-42c4-ace9-925c2d99f3cd|EL|Greek||||||
42|2024-01-18 07:07:50.1549098|2024-01-18 07:07:50.15491|admin|admin||2d743a48-e175-4f2c-b5ef-21d04696dfd1|KL|Greenlandic||||||
43|2024-01-18 07:07:50.1549243|2024-01-18 07:07:50.1549245|admin|admin||f033dd2c-c0f4-41df-bc6e-3007adf962eb|GN|Guarani||||||
44|2024-01-18 07:07:50.1549392|2024-01-18 07:07:50.1549394|admin|admin||a412194f-9cc6-4e9b-bfc7-62dd6508f765|GU|Gujarati||||||
45|2024-01-18 07:07:50.154954|2024-01-18 07:07:50.1549541|admin|admin||8f034ba3-6117-427a-b87d-e629e2ae999d|HA|Hausa||||||
46|2024-01-18 07:07:50.1549696|2024-01-18 07:07:50.1549698|admin|admin||e39c2c73-933c-4fb0-ac14-f87f932e414a|IW|Hebrew||||||
47|2024-01-18 07:07:50.1549843|2024-01-18 07:07:50.1549845|admin|admin||58cc3c52-f64a-4f11-bba1-282b7ec1d263|HI|Hindi||||||
48|2024-01-18 07:07:50.1549991|2024-01-18 07:07:50.1549993|admin|admin||1bfad173-0b2f-4c63-b01d-c3b48a945dff|HU|Hungarian||||||
49|2024-01-18 07:07:50.1550137|2024-01-18 07:07:50.1550138|admin|admin||1f6da301-8285-4640-9230-e6b2bfe9a5a6|IS|Icelandic||||||
50|2024-01-18 07:07:50.1550292|2024-01-18 07:07:50.1550294|admin|admin||6fe17d5e-7107-4837-83f1-00febd35db79|IN|Indonesian||||||
51|2024-01-18 07:07:50.155044|2024-01-18 07:07:50.1550442|admin|admin||6ff99e91-d8ab-47e3-82fc-16a1fb59e037|IA|Interlingua||||||
52|2024-01-18 07:07:50.1550591|2024-01-18 07:07:50.1550593|admin|admin||e958dc40-c7dd-4b7d-9321-f9dee85b8ddf|IE|Interlingue||||||
53|2024-01-18 07:07:50.1550738|2024-01-18 07:07:50.155074|admin|admin||45405d0b-d628-4674-b19a-f1b56991c71f|IK|Inupiak||||||
54|2024-01-18 07:07:50.1550893|2024-01-18 07:07:50.1550895|admin|admin||30c11a5c-adfd-43e5-8367-c4eb49231c27|GA|Irish||||||
55|2024-01-18 07:07:50.155104|2024-01-18 07:07:50.1551042|admin|admin||f8b9c95a-2054-450e-a6bc-336a0e463746|IT|Italian||||||
56|2024-01-18 07:07:50.1551184|2024-01-18 07:07:50.1551186|admin|admin||167b90e2-6802-4497-8fbe-69f434036577|JA|Japanese||||||
57|2024-01-18 07:07:50.155133|2024-01-18 07:07:50.1551332|admin|admin||c9395d30-5f8b-4a8e-a52d-2a518d54d976|JW|Javanese||||||
58|2024-01-18 07:07:50.1551487|2024-01-18 07:07:50.1551489|admin|admin||4468f450-90e7-445d-bc63-f76508d44aae|KN|Kannada||||||
59|2024-01-18 07:07:50.1551634|2024-01-18 07:07:50.1551635|admin|admin||d6a9e3b0-97a8-4c8c-bb97-542982103c64|KS|Kashmiri||||||
60|2024-01-18 07:07:50.1551785|2024-01-18 07:07:50.1551787|admin|admin||c5f84678-7409-4dd7-af0f-39a35d63a97d|KK|Kazakh||||||
61|2024-01-18 07:07:50.1551934|2024-01-18 07:07:50.1551936|admin|admin||426ee353-1df5-4456-8d26-2658b306c698|RW|Kinyarwanda||||||
62|2024-01-18 07:07:50.155209|2024-01-18 07:07:50.1552092|admin|admin||f538873f-d6f2-4241-8260-59ab7de1bff4|KY|Kirghiz||||||
63|2024-01-18 07:07:50.155224|2024-01-18 07:07:50.1552241|admin|admin||11842962-f867-46e9-a6d2-894fdb191ecf|RN|Kirundi||||||
64|2024-01-18 07:07:50.1552385|2024-01-18 07:07:50.1552387|admin|admin||45b8dc30-39aa-49b3-9928-4eadf91d9c7a|KO|Korean||||||
65|2024-01-18 07:07:50.155253|2024-01-18 07:07:50.1552532|admin|admin||3750de7c-4091-4892-90bc-254f4ab1f02b|KU|Kurdish||||||
66|2024-01-18 07:07:50.1552685|2024-01-18 07:07:50.1552687|admin|admin||faf4743d-6e35-4704-b558-920823428b93|LO|Laothian||||||
67|2024-01-18 07:07:50.1552833|2024-01-18 07:07:50.1552834|admin|admin||d8e607b6-89f9-49ad-b7c2-23d7df9828e5|LA|Latin||||||
